uid,namedLocation,domainID,siteID,plotID,subplotID,startDate,endDate,flightYear,totalSampledArea,qualifyingVegetationArea,qualifyingVegetationPercent,dataQF,publicationDate,release
647555ba-ee8d-4911-a6cf-425903d4eb30,CLBJ_026.basePlot.ltr,D11,CLBJ,CLBJ_026,31_400,2016-04-22,2016-04-22,2016,400,192,48,,20240104T224934Z,RELEASE-2024
b6ad3063-8028-4d41-90f1-c00d78cbbbb0,CLBJ_014.basePlot.ltr,D11,CLBJ,CLBJ_014,31_400,2016-04-22,2016-04-22,2016,400,272,68,,20240104T224934Z,RELEASE-2024
fc04a89a-a6ab-4c4c-a666-35d633ae1e7d,CLBJ_004.basePlot.ltr,D11,CLBJ,CLBJ_004,31_400,2016-04-22,2016-04-22,2016,400,97,24.25,,20240104T224934Z,RELEASE-2024
405e81b5-737a-4ed7-b5b6-18926c81f79a,CLBJ_004.basePlot.ltr,D11,CLBJ,CLBJ_004,31_400,2017-05-01,2017-05-01,2017,400,104,26,,20240104T224934Z,RELEASE-2024
a1f3132b-8ac1-4e56-863c-2b8ba440b5f7,CLBJ_028.basePlot.ltr,D11,CLBJ,CLBJ_028,31_400,2017-05-01,2017-05-01,2017,400,373,93.25,,20240104T224934Z,RELEASE-2024
d360a00a-46aa-4f8e-b194-0ac02ef8e424,CLBJ_022.basePlot.ltr,D11,CLBJ,CLBJ_022,31_400,2017-05-01,2017-05-01,2017,400,218,54.5,,20240104T224934Z,RELEASE-2024
a37c9b2b-6480-4333-a4ed-08970c1b41ac,CLBJ_017.basePlot.ltr,D11,CLBJ,CLBJ_017,31_400,2017-05-01,2017-05-01,2017,400,365,91.25,,20240104T224934Z,RELEASE-2024
6f7b3266-56d2-4bef-b210-efa19f22d67f,CLBJ_006.basePlot.ltr,D11,CLBJ,CLBJ_006,31_400,2017-05-01,2017-05-01,2017,400,44,11,,20240104T224934Z,RELEASE-2024
d324f98a-5bfe-4128-b495-7eda49989176,CLBJ_014.basePlot.ltr,D11,CLBJ,CLBJ_014,31_400,2017-05-01,2017-05-01,2017,400,275,68.75,,20240104T224934Z,RELEASE-2024
ae215c26-0913-4eaf-84fa-e2397690ef78,CLBJ_002.basePlot.ltr,D11,CLBJ,CLBJ_002,31_400,2017-05-01,2017-05-01,2017,400,341,85.25,,20240104T224934Z,RELEASE-2024
