uid,analyte,analyteUnits,sampleType,qaReferenceID,analyteKnownValue,analyteObservedValue,analyteAbsoluteError,analyteAccuracy,analyteStandardDeviation,analyteMetricsCount,qaReportingStartDate,qaReportingEndDate,laboratoryName,instrument,testMethod,method,dataQF,publicationDate,release
2da0ffe8-b735-4d70-9cf5-a7a19c4d273e,carbonPercent,percent,soil,UWSIF-46-Soil3,1.13,1.15,0.03,0.02,0.04,212,2019-01-01,2019-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
ee85e66c-bec5-4666-963d-86bcde7ea2e5,d15N,permill,soil,UWSIF-46-Soil3,6.12,6.17,0.14,0.05,0.17,501,2021-01-01,2021-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
0468ac60-361c-4331-8581-5d350ff9b220,d13C,permill,soil,UWSIF-46-Soil3,-23.53,-23.6,0.13,-0.07,0.13,45,2020-01-01,2020-09-14,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
4b44efb0-45fd-4c2d-a636-c9858a2e2780,d15N,permill,vegetation,UWSIF-05-Alfalfa,0.19,0.14,0.1,-0.05,0.12,384,2021-01-01,2021-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
c25f7bbe-3972-4000-8a17-90716e4f9aa2,nitrogenPercent,percent,vegetation,UWSIF-05-Alfalfa,3.25,3.25,0.06,0.004,0.07,753,2019-01-01,2019-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
4f63b18b-a657-4835-ba85-eca420e3709b,nitrogenPercent,percent,soil,UWSIF-46-Soil3,0.13,0.13,0.004,0.001,0.01,203,2019-01-01,2019-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
4ea1e975-f260-404c-ada0-8de4486a1bd6,carbonPercent,percent,vegetation,UWSIF-05-Alfalfa,42.61,43.36,0.81,0.77,0.57,374,2020-01-01,2020-09-14,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
98d73778-8b11-4d4c-95a9-6cd849ba010b,d13C,permill,soil,UWSIF-46-Soil3,-23.53,-23.58,0.14,-0.05,0.18,164,2017-09-25,2017-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
4168de23-ee12-4863-9351-0bd5a0dcfeff,nitrogenPercent,percent,vegetation,UWSIF-05-Alfalfa,3.25,3.26,0.05,0.01,0.06,525,2017-01-01,2017-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
c75a360a-69fe-4bea-9e7f-f1df953c6730,carbonPercent,percent,soil,UWSIF-45-Soil2,1.55,1.5,0.06,-0.05,0.05,387,2017-01-01,2017-09-24,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
0d278bc5-700d-419d-94ab-04f742ce1ead,d15N,permill,soil,UWSIF-46-Soil3,6.12,6.08,0.15,-0.04,0.2,164,2017-09-25,2017-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
db0d213b-32d4-47d6-8fab-6c4dbe417a7a,carbonPercent,percent,soil,UWSIF-46-Soil3,1.13,1.15,0.03,0.02,0.04,556,2021-01-01,2021-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
baec3415-c005-46f2-92bd-9ee6fa6bc948,nitrogenPercent,percent,vegetation,UWSIF-05-Alfalfa,3.25,3.24,0.05,-0.003,0.07,413,2020-01-01,2020-09-14,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
5be46bd3-22b8-4d4b-91b2-0c77e884a903,nitrogenPercent,percent,soil,UWSIF-46-Soil3,0.13,0.14,0.005,0.005,0.003,514,2021-01-01,2021-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
9e94f7ee-87aa-4d44-9f11-99f9bbff9383,d15N,permill,soil,UWSIF-46-Soil3,6.12,6.01,0.17,-0.11,0.22,526,2018-01-01,2018-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
274081d5-98c0-4a4c-924d-2c2a384b60c2,d15N,permill,soil,UWSIF-45-Soil2,7.17,7,0.2,-0.17,0.17,214,2015-01-01,2015-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
3d1ab880-7635-4774-aaa2-1b9f90a4210e,d15N,permill,vegetation,UWSIF-05-Alfalfa,0.19,0.1,0.13,-0.08,0.2,421,2020-01-01,2020-09-14,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
001f4b2c-72be-4b8f-85e9-e91052e81207,d13C,permill,soil,UWSIF-45-Soil2,-26.9,-26.73,0.19,0.17,0.16,387,2017-01-01,2017-09-24,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
5de89925-49a5-4798-8ba2-5444764b2d59,nitrogenPercent,percent,vegetation,UWSIF-05-Alfalfa,3.25,3.3,0.05,0.05,0.06,100,2022-01-01,2022-02-11,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
6a633e75-da38-4613-935c-eac37c999a74,carbonPercent,percent,soil,UWSIF-45-Soil2,1.55,1.5,0.07,-0.05,0.07,288,2016-01-01,2016-12-31,University of Wyoming Stable Isotope Facility,Costech 4010 Elemental Analyzer coupled to a Thermo Delta Plus XP IRMS,010 (combustion/reduction organics),"Schepers et al. (1989) Simultaneous determination of total C, total N, and 15N on soil and plant material. Communications in Soil Science and Plant Analysis 20(9-10), 949-959.",,20240104T225302Z,RELEASE-2024
