uid,namedLocation,domainID,siteID,plotID,trapID,weighDate,setDate,collectDate,eventID,ovenStartDate,ovenEndDate,fieldSampleID,sampleCondition,massSampleID,samplingProtocolVersion,biogeoSample,functionalGroup,dryMass,qaDryMass,remarks,measuredBy,publicationDate,release
ab99c066-db71-4870-93ae-e73c2b094427,CLBJ_011.basePlot.ltr,D11,CLBJ,CLBJ_011,CLBJ_011_144,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ011144.20191007,,NEON.LTR.CLBJ011144.20191007.LVS,NEON.DOC.001710vG,N,Leaves,1.61,N,,,20240104T224934Z,RELEASE-2024
ee5bc172-b0f7-4763-b661-0036a2e1f262,CLBJ_006.basePlot.ltr,D11,CLBJ,CLBJ_006,CLBJ_006_014,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ006014.20191007,,NEON.LTR.CLBJ006014.20191007.TWI,NEON.DOC.001710vG,N,Twigs/branches,0,N,,,20240104T224934Z,RELEASE-2024
12265b45-49d0-4de4-bb80-2bc8b86c2f65,CLBJ_023.basePlot.ltr,D11,CLBJ,CLBJ_023,CLBJ_023_015,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ023015.20191007,,NEON.LTR.CLBJ023015.20191007.SDS,NEON.DOC.001710vG,N,Seeds,0,N,,,20240104T224934Z,RELEASE-2024
fe993bda-3e5d-4526-938c-80b0d6db8f1a,CLBJ_030.basePlot.ltr,D11,CLBJ,CLBJ_030,CLBJ_030_063,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ030063.20191007,,NEON.LTR.CLBJ030063.20191007.TWI,NEON.DOC.001710vG,N,Twigs/branches,0.37,N,,,20240104T224934Z,RELEASE-2024
6c32f9e5-3f5d-459e-a11e-7e545da71297,CLBJ_007.basePlot.ltr,D11,CLBJ,CLBJ_007,CLBJ_007_077,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ007077.20191007,,NEON.LTR.CLBJ007077.20191007.MXT,NEON.DOC.001710vG,N,Mixed,0,N,,,20240104T224934Z,RELEASE-2024
096ea4a6-b251-4362-a840-5f4719abe9dd,CLBJ_007.basePlot.ltr,D11,CLBJ,CLBJ_007,CLBJ_007_077,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ007077.20191007,,NEON.LTR.CLBJ007077.20191007.WDY,NEON.DOC.001710vG,N,Woody material,0.12,N,,,20240104T224934Z,RELEASE-2024
ed1c6804-fa87-4deb-bd2e-9eb0e289dfc1,CLBJ_030.basePlot.ltr,D11,CLBJ,CLBJ_030,CLBJ_030_063,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ030063.20191007,,NEON.LTR.CLBJ030063.20191007.LVS,NEON.DOC.001710vG,N,Leaves,2.23,N,,,20240104T224934Z,RELEASE-2024
914f3a97-6be8-48cf-8541-8be6505de2e2,CLBJ_015.basePlot.ltr,D11,CLBJ,CLBJ_015,CLBJ_015_137,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ015137.20191007,,NEON.LTR.CLBJ015137.20191007.TWI,NEON.DOC.001710vG,N,Twigs/branches,13.67,Y,,,20240104T224934Z,RELEASE-2024
799415c1-f712-4d13-9dc5-2a33abd37cb2,CLBJ_010.basePlot.ltr,D11,CLBJ,CLBJ_010,CLBJ_010_007,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ010007.20191007,,NEON.LTR.CLBJ010007.20191007.NDL,NEON.DOC.001710vG,N,Needles,0.05,N,,,20240104T224934Z,RELEASE-2024
6ff642c0-afa0-41db-a943-860053fb9a49,CLBJ_006.basePlot.ltr,D11,CLBJ,CLBJ_006,CLBJ_006_014,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ006014.20191007,,NEON.LTR.CLBJ006014.20191007.WDY,NEON.DOC.001710vG,N,Woody material,0,N,,,20240104T224934Z,RELEASE-2024
20465908-6cbc-457a-ac1e-de3b972a2c39,CLBJ_015.basePlot.ltr,D11,CLBJ,CLBJ_015,CLBJ_015_137,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ015137.20191007,,NEON.LTR.CLBJ015137.20191007.MXT,NEON.DOC.001710vG,N,Mixed,0,N,,,20240104T224934Z,RELEASE-2024
3db7bbef-5ee4-4f25-a5ef-5f1b28003e55,CLBJ_006.basePlot.ltr,D11,CLBJ,CLBJ_006,CLBJ_006_014,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ006014.20191007,,NEON.LTR.CLBJ006014.20191007.MXT,NEON.DOC.001710vG,N,Mixed,0,N,,,20240104T224934Z,RELEASE-2024
5d8059b0-61c2-49a5-b237-74a4b5a1ae66,CLBJ_004.basePlot.ltr,D11,CLBJ,CLBJ_004,CLBJ_004_062,,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,"","",NEON.LTR.CLBJ004062.20191007,,NEON.LTR.CLBJ004062.20191007.MXT,"","",Mixed,0,N,,,20240104T224934Z,RELEASE-2024
2bdabc7f-2586-4601-b781-1bfb2abe4e3c,CLBJ_025.basePlot.ltr,D11,CLBJ,CLBJ_025,CLBJ_025_174,,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,"","",NEON.LTR.CLBJ025174.20191007,,NEON.LTR.CLBJ025174.20191007.MXT,"","",Mixed,0,N,,,20240104T224934Z,RELEASE-2024
757c4cad-7ad1-4a5b-a691-ca217f28d8ba,CLBJ_006.basePlot.ltr,D11,CLBJ,CLBJ_006,CLBJ_006_014,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ006014.20191007,,NEON.LTR.CLBJ006014.20191007.NDL,NEON.DOC.001710vG,N,Needles,0,N,,,20240104T224934Z,RELEASE-2024
092a7925-585e-47dd-90f4-6a1ba38d25d1,CLBJ_029.basePlot.ltr,D11,CLBJ,CLBJ_029,CLBJ_029_190,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ029190.20191007,,NEON.LTR.CLBJ029190.20191007.NDL,NEON.DOC.001710vG,N,Needles,0.2,N,,,20240104T224934Z,RELEASE-2024
af977baa-7d00-4999-9e7f-98b5d7b72975,CLBJ_030.basePlot.ltr,D11,CLBJ,CLBJ_030,CLBJ_030_063,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ030063.20191007,,NEON.LTR.CLBJ030063.20191007.NDL,NEON.DOC.001710vG,N,Needles,0,N,,,20240104T224934Z,RELEASE-2024
9b1e4854-6b61-40cd-9c5e-fceff40b27ee,CLBJ_006.basePlot.ltr,D11,CLBJ,CLBJ_006,CLBJ_006_014,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ006014.20191007,,NEON.LTR.CLBJ006014.20191007.FLR,NEON.DOC.001710vG,N,Flowers,0,N,,,20240104T224934Z,RELEASE-2024
0fc52258-3f8e-4c98-ab5e-241b84bcbda7,CLBJ_010.basePlot.ltr,D11,CLBJ,CLBJ_010,CLBJ_010_007,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ010007.20191007,,NEON.LTR.CLBJ010007.20191007.SDS,NEON.DOC.001710vG,N,Seeds,0.06,N,,,20240104T224934Z,RELEASE-2024
4d77c3fc-62f2-41ef-b49b-8adff1f0f289,CLBJ_015.basePlot.ltr,D11,CLBJ,CLBJ_015,CLBJ_015_137,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ015137.20191007,,NEON.LTR.CLBJ015137.20191007.FLR,NEON.DOC.001710vG,N,Flowers,0.05,N,,,20240104T224934Z,RELEASE-2024
006559b0-7cd2-43f5-ae01-b4e993bb9183,CLBJ_015.basePlot.ltr,D11,CLBJ,CLBJ_015,CLBJ_015_137,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ015137.20191007,,NEON.LTR.CLBJ015137.20191007.NDL,NEON.DOC.001710vG,N,Needles,3.33,N,,,20240104T224934Z,RELEASE-2024
952c1ce5-50a6-47ed-a462-e3d2efa73e0d,CLBJ_023.basePlot.ltr,D11,CLBJ,CLBJ_023,CLBJ_023_015,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ023015.20191007,,NEON.LTR.CLBJ023015.20191007.TWI,NEON.DOC.001710vG,N,Twigs/branches,0,N,,,20240104T224934Z,RELEASE-2024
74de8b69-e1b5-4a44-8420-50ef89598352,CLBJ_029.basePlot.ltr,D11,CLBJ,CLBJ_029,CLBJ_029_190,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ029190.20191007,,NEON.LTR.CLBJ029190.20191007.WDY,NEON.DOC.001710vG,N,Woody material,1.63,N,,,20240104T224934Z,RELEASE-2024
0347819e-ff32-4e74-a444-5b3fba3ae992,CLBJ_023.basePlot.ltr,D11,CLBJ,CLBJ_023,CLBJ_023_015,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ023015.20191007,,NEON.LTR.CLBJ023015.20191007.FLR,NEON.DOC.001710vG,N,Flowers,0,N,,,20240104T224934Z,RELEASE-2024
803c1381-492f-4476-99f3-d63f83a7a338,CLBJ_021.basePlot.ltr,D11,CLBJ,CLBJ_021,CLBJ_021_073,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ021073.20191007,,NEON.LTR.CLBJ021073.20191007.TWI,NEON.DOC.001710vG,N,Twigs/branches,0.33,N,,,20240104T224934Z,RELEASE-2024
39ccbba1-5464-4a24-baf6-267abe1040bf,CLBJ_023.basePlot.ltr,D11,CLBJ,CLBJ_023,CLBJ_023_015,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ023015.20191007,,NEON.LTR.CLBJ023015.20191007.LVS,NEON.DOC.001710vG,N,Leaves,0.54,N,,,20240104T224934Z,RELEASE-2024
cf349422-7ce4-4959-97d7-57a613b09552,CLBJ_010.basePlot.ltr,D11,CLBJ,CLBJ_010,CLBJ_010_007,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ010007.20191007,,NEON.LTR.CLBJ010007.20191007.FLR,NEON.DOC.001710vG,N,Flowers,0,N,,,20240104T224934Z,RELEASE-2024
b2c31d4a-30f9-4d7b-b607-2ef56fc190ef,CLBJ_021.basePlot.ltr,D11,CLBJ,CLBJ_021,CLBJ_021_073,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ021073.20191007,,NEON.LTR.CLBJ021073.20191007.MXT,NEON.DOC.001710vG,N,Mixed,0,N,,,20240104T224934Z,RELEASE-2024
838f25ee-9b2c-41b7-888c-f305584c62ca,CLBJ_023.basePlot.ltr,D11,CLBJ,CLBJ_023,CLBJ_023_015,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ023015.20191007,,NEON.LTR.CLBJ023015.20191007.MXT,NEON.DOC.001710vG,N,Mixed,0,N,,,20240104T224934Z,RELEASE-2024
8cabfdca-6a08-42d7-94cc-1e198186d6cf,CLBJ_030.basePlot.ltr,D11,CLBJ,CLBJ_030,CLBJ_030_063,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ030063.20191007,,NEON.LTR.CLBJ030063.20191007.WDY,NEON.DOC.001710vG,N,Woody material,0,N,,,20240104T224934Z,RELEASE-2024
e885fe93-7c85-4a0c-b6f8-222fa1f03394,CLBJ_010.basePlot.ltr,D11,CLBJ,CLBJ_010,CLBJ_010_007,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ010007.20191007,,NEON.LTR.CLBJ010007.20191007.MXT,NEON.DOC.001710vG,N,Mixed,0,N,,,20240104T224934Z,RELEASE-2024
4ce8aadf-53ce-4ccc-a471-91e39ab9b642,CLBJ_030.basePlot.ltr,D11,CLBJ,CLBJ_030,CLBJ_030_063,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ030063.20191007,,NEON.LTR.CLBJ030063.20191007.SDS,NEON.DOC.001710vG,N,Seeds,0,N,,,20240104T224934Z,RELEASE-2024
00a2b374-999e-4a35-a28f-bc5308597b3c,CLBJ_011.basePlot.ltr,D11,CLBJ,CLBJ_011,CLBJ_011_144,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ011144.20191007,,NEON.LTR.CLBJ011144.20191007.TWI,NEON.DOC.001710vG,N,Twigs/branches,0,N,,,20240104T224934Z,RELEASE-2024
efbdf75e-4e53-41ad-a248-a7e8c671f951,CLBJ_029.basePlot.ltr,D11,CLBJ,CLBJ_029,CLBJ_029_190,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ029190.20191007,,NEON.LTR.CLBJ029190.20191007.FLR,NEON.DOC.001710vG,N,Flowers,0.09,N,,,20240104T224934Z,RELEASE-2024
7ea0ea7a-4c49-4930-869d-1325721d7ffa,CLBJ_015.basePlot.ltr,D11,CLBJ,CLBJ_015,CLBJ_015_137,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ015137.20191007,,NEON.LTR.CLBJ015137.20191007.OTH,NEON.DOC.001710vG,N,Other,0.11,N,,,20240104T224934Z,RELEASE-2024
66600348-bef3-40f3-a6f7-e4c476c72942,CLBJ_011.basePlot.ltr,D11,CLBJ,CLBJ_011,CLBJ_011_144,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ011144.20191007,,NEON.LTR.CLBJ011144.20191007.WDY,NEON.DOC.001710vG,N,Woody material,0,N,,,20240104T224934Z,RELEASE-2024
96b72bae-89a4-4001-8b70-616dfad80c88,CLBJ_006.basePlot.ltr,D11,CLBJ,CLBJ_006,CLBJ_006_014,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ006014.20191007,,NEON.LTR.CLBJ006014.20191007.SDS,NEON.DOC.001710vG,N,Seeds,0,N,,,20240104T224934Z,RELEASE-2024
a9e563cd-e8b0-4562-81f5-e4308d3dcbf7,CLBJ_021.basePlot.ltr,D11,CLBJ,CLBJ_021,CLBJ_021_073,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ021073.20191007,,NEON.LTR.CLBJ021073.20191007.FLR,NEON.DOC.001710vG,N,Flowers,0.08,N,,,20240104T224934Z,RELEASE-2024
f4e10c72-8a16-440c-bae1-5b377ae36f18,CLBJ_007.basePlot.ltr,D11,CLBJ,CLBJ_007,CLBJ_007_077,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ007077.20191007,,NEON.LTR.CLBJ007077.20191007.LVS,NEON.DOC.001710vG,N,Leaves,5.01,N,,,20240104T224934Z,RELEASE-2024
47f1563a-c677-4dde-8434-88cea166f94e,CLBJ_021.basePlot.ltr,D11,CLBJ,CLBJ_021,CLBJ_021_073,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ021073.20191007,,NEON.LTR.CLBJ021073.20191007.WDY,NEON.DOC.001710vG,N,Woody material,0,N,,,20240104T224934Z,RELEASE-2024
287afaa6-cede-44e9-a0b6-4f2c82e57b95,CLBJ_011.basePlot.ltr,D11,CLBJ,CLBJ_011,CLBJ_011_144,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ011144.20191007,,NEON.LTR.CLBJ011144.20191007.FLR,NEON.DOC.001710vG,N,Flowers,0,N,,,20240104T224934Z,RELEASE-2024
73362e40-584b-4f75-98bc-153df95ee835,CLBJ_030.basePlot.ltr,D11,CLBJ,CLBJ_030,CLBJ_030_063,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ030063.20191007,,NEON.LTR.CLBJ030063.20191007.FLR,NEON.DOC.001710vG,N,Flowers,0.05,N,,,20240104T224934Z,RELEASE-2024
83fcc8de-3a80-4acd-b20e-0c15417f9e9b,CLBJ_021.basePlot.ltr,D11,CLBJ,CLBJ_021,CLBJ_021_073,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ021073.20191007,,NEON.LTR.CLBJ021073.20191007.SDS,NEON.DOC.001710vG,N,Seeds,0,N,,,20240104T224934Z,RELEASE-2024
b98ede3e-8673-49ff-afd9-72faf67251c9,CLBJ_021.basePlot.ltr,D11,CLBJ,CLBJ_021,CLBJ_021_073,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ021073.20191007,,NEON.LTR.CLBJ021073.20191007.LVS,NEON.DOC.001710vG,N,Leaves,12.91,Y,,,20240104T224934Z,RELEASE-2024
881cc238-199f-4846-be0e-b6e1ce0f79fd,CLBJ_015.basePlot.ltr,D11,CLBJ,CLBJ_015,CLBJ_015_137,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ015137.20191007,,NEON.LTR.CLBJ015137.20191007.LVS,NEON.DOC.001710vG,N,Leaves,6.5,N,,,20240104T224934Z,RELEASE-2024
b6b3a069-973f-4f22-a0a0-b176acdf0bf1,CLBJ_010.basePlot.ltr,D11,CLBJ,CLBJ_010,CLBJ_010_007,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ010007.20191007,,NEON.LTR.CLBJ010007.20191007.TWI,NEON.DOC.001710vG,N,Twigs/branches,0,N,,,20240104T224934Z,RELEASE-2024
eb869f67-da0a-4b2e-b940-c975e55dbdfe,CLBJ_010.basePlot.ltr,D11,CLBJ,CLBJ_010,CLBJ_010_007,2019-10-14,2019-08-13,2019-10-07,LTR.2019.CLBJ.07,2019-10-09T00:05Z,2019-10-15T13:10Z,NEON.LTR.CLBJ010007.20191007,,NEON.LTR.CLBJ010007.20191007.OTH,NEON.DOC.001710vG,N,Other,0.05,N,,,20240104T224934Z,RELEASE-2024
